"","CAPOVERALL","CurrentModCodValue","USGOVERALL","DEVICEID"
"249",10000,"QPSK - fifth-sixth",9998,"TERM1116"
"250",0,"8PSK - three-fourth",0,"TERM1050"
"251",0,"8PSK - two-third",0,"TERM911"
"252",0,"8PSK - two-third",0,"TERM901"
"253",0,"8PSK - three-fourth",0,"TERM936"
"254",0,"8PSK - three-fourth",0,"TERM903"
"255",0,"8PSK - two-third",0,"TERM908"
"256",0,"8PSK - three-fourth",0,"TERM1312"
"257",0,"8PSK - two-third",0,"TERM1214"
"258",0,"16APSK - two-third",0,"TERM1309"
"259",0,"8PSK - two-third",0,"TERM457"
"260",0,"8PSK - three-fourth",0,"TERM1295"
"261",0,"8PSK - three-fourth",0,"TERM1294"
"262",0,"8PSK - three-fourth",0,"TERM1280"
"263",0,"QPSK - fifth-sixth",0,"TERM1278"
"264",0,"8PSK - two-third",0,"TERM1283"
"265",0,"QPSK - fifth-sixth",0,"TERM1279"
"266",0,"8PSK - two-third",0,"TERM1261"
"267",10000,"8PSK - three-fourth",9662,"TERM1216"
"268",0,"8PSK - two-third",0,"TERM1275"
"269",0,"16APSK - four-fifth",0,"TERM825"
"270",20000,"8PSK - three-fourth",15312,"TERM1201"
"271",200,"16APSK - two-third",0,"TERM870"
"272",0,"QPSK - fifth-sixth",0,"TERM886"
"273",0,"8PSK - three-fourth",0,"TERM971"
"274",0,"8PSK - three-fourth",0,"TERM966"
"275",0,"16APSK - two-third",0,"TERM979"
"276",0,"8PSK - three-fourth",0,"TERM961"
"277",0,"8PSK - three-fourth",0,"TERM948"
"278",0,"8PSK - two-third",0,"TERM1002"
"279",0,"16APSK - two-third",0,"TERM982"
"280",0,"8PSK - three-fourth",0,"TERM975"
"281",0,"8PSK - three-fourth",0,"TERM954"
"282",0,"8PSK - three-fourth",0,"TERM764"
"283",0,"8PSK - three-fourth",0,"TERM874"
"284",0,"16APSK - two-third",0,"TERM751"
"285",200,"8PSK - three-fourth",199,"TERM859"
"286",0,"8PSK - three-fourth",0,"TERM653"
"287",0,"8PSK - three-fourth",0,"TERM645"
"288",0,"8PSK - three-fourth",0,"TERM647"
"289",0,"8PSK - three-fourth",0,"TERM637"
"290",0,"8PSK - three-fourth",0,"TERM634"
"291",0,"8PSK - three-fourth",0,"TERM643"
"292",10000,"16APSK - two-third",4350,"TERM654"
"293",0,"8PSK - three-fourth",0,"TERM579"
"294",0,"8PSK - three-fourth",0,"TERM625"
"295",5000,"8PSK - three-fourth",0,"TERM574"
"296",0,"8PSK - three-fourth",0,"TERM573"
"297",0,"QPSK - fifth-sixth",0,"TERM450"
"298",0,"8PSK - three-fourth",0,"TERM546"
"299",0,"16APSK - two-third",0,"TERM1114"
"300",0,"8PSK - three-fourth",0,"TERM1176"
"301",200,"8PSK - three-fourth",200,"TERM1361"
"302",20000,"8PSK - two-third",6999,"TERM1277"
"303",10000,"8PSK - three-fourth",9998,"TERM1337"
"304",5000,"8PSK - two-third",4999,"TERM1332"
"305",40000,"8PSK - two-third",32728,"TERM1243"
"306",0,"8PSK - three-fourth",0,"TERM1198"
"307",0,"8PSK - three-fourth",0,"TERM106"
"308",10000,"QPSK - fifth-sixth",0,"TERM1194"
"309",0,"8PSK - three-fourth",0,"TERM968"
"310",10000,"16APSK - two-third",9994,"TERM1157"
"311",40000,"8PSK - three-fourth",22782,"TERM1164"
"312",0,"8PSK - three-fourth",0,"TERM1152"
"313",0,"8PSK - three-fourth",0,"TERM1019"
"314",0,"8PSK - three-fourth",0,"TERM1093"
"315",0,"8PSK - three-fourth",0,"TERM1046"
"316",0,"16APSK - two-third",0,"TERM998"
"317",0,"8PSK - three-fourth",0,"TERM933"
"318",0,"16APSK - two-third",0,"TERM1018"
"319",0,"16APSK - two-third",0,"TERM1021"
"320",0,"8PSK - three-fourth",0,"TERM1012"
"321",0,"16APSK - two-third",0,"TERM1005"
"322",0,"16APSK - two-third",0,"TERM1038"
"323",0,"8PSK - three-fourth",0,"TERM1047"
"324",0,"8PSK - three-fourth",0,"TERM814"
"325",0,"8PSK - three-fourth",0,"TERM739"
"326",0,"8PSK - two-third",0,"TERM851"
"327",0,"8PSK - three-fourth",0,"TERM692"
"328",0,"8PSK - two-third",0,"TERM718"
"329",0,"8PSK - three-fourth",0,"TERM683"
"330",0,"8PSK - three-fourth",0,"TERM713"
"331",0,"8PSK - two-third",0,"TERM687"
"332",0,"16APSK - two-third",0,"TERM640"
"333",40000,"8PSK - three-fourth",16024,"TERM552"
"334",200,"16APSK - two-third",0,"TERM588"
"335",0,"8PSK - two-third",0,"TERM563"
"336",0,"8PSK - three-fourth",0,"TERM558"
"337",0,"8PSK - three-fourth",0,"TERM582"
"338",0,"8PSK - three-fourth",0,"TERM541"
"339",0,"8PSK - two-third",0,"TERM482"
"340",200,"8PSK - three-fourth",200,"TERM466"
"341",0,"8PSK - two-third",0,"TERM735"
"342",0,"QPSK - two-third",0,"TERM716"
"343",0,"8PSK - three-fourth",0,"TERM1359"
"344",0,"8PSK - two-third",0,"TERM1314"
"345",10000,"8PSK - three-fourth",9373,"TERM1329"
"346",5000,"8PSK - three-fourth",0,"TERM1128"
"347",0,"8PSK - two-third",0,"TERM1189"
"348",20000,"8PSK - two-third",0,"TERM1202"
"349",20000,"8PSK - two-third",0,"TERM1204"
"350",20000,"8PSK - two-third",0,"TERM1203"
"351",0,"8PSK - two-third",0,"TERM1148"
"352",200,"QPSK - fifth-sixth",185,"TERM1084"
"353",0,"QPSK - fifth-sixth",0,"TERM809"
"354",0,"8PSK - two-third",0,"TERM920"
"355",0,"8PSK - two-third",0,"TERM839"
"356",0,"8PSK - two-third",0,"TERM773"
"357",0,"8PSK - two-third",0,"TERM1249"
"358",40000,"8PSK - three-fourth",39860,"TERM51"
"359",0,"8PSK - three-fourth",0,"TERM1"
"360",0,"8PSK - two-third",0,"TERM506"
"361",0,"16APSK - two-third",0,"TERM1289"
"362",0,"8PSK - three-fourth",0,"TERM1245"
"363",0,"8PSK - three-fourth",0,"TERM1186"
"364",0,"8PSK - two-third",0,"TERM1000"
"365",0,"8PSK - three-fourth",0,"TERM1011"
"366",0,"8PSK - three-fourth",0,"TERM13"
"367",0,"16APSK - two-third",0,"TERM830"
"368",60000,"8PSK - three-fourth",57376,"TERM1303"
"369",60000,"8PSK - three-fourth",58432,"TERM1300"
"370",0,"8PSK - two-third",0,"TERM1052"
"371",60000,"8PSK - three-fourth",56968,"TERM1296"
"372",20000,"8PSK - three-fourth",0,"TERM1270"
"373",0,"8PSK - two-third",0,"TERM1087"
"374",0,"8PSK - two-third",0,"TERM1090"
"375",10000,"8PSK - three-fourth",0,"TERM1006"
"376",20000,"8PSK - two-third",0,"TERM1004"
"377",0,"8PSK - three-fourth",0,"TERM949"
"378",10000,"8PSK - three-fourth",2622,"TERM970"
"379",0,"8PSK - three-fourth",0,"TERM849"
"380",0,"16APSK - two-third",0,"TERM795"
"381",5000,"8PSK - two-third",0,"TERM530"
"382",60000,"8PSK - three-fourth",59915,"TERM1330"
"383",0,"8PSK - three-fourth",0,"TERM586"
"384",0,"8PSK - two-third",0,"TERM783"
"385",0,"8PSK - two-third",0,"TERM1182"
"386",20000,"8PSK - three-fourth",11228,"TERM1181"
"387",10000,"8PSK - three-fourth",0,"TERM1353"
"388",10000,"8PSK - fifth-sixth",0,"TERM1346"
"389",0,"QPSK - two-third",0,"TERM1272"
"390",0,"QPSK - fifth-sixth",0,"TERM438"
"391",0,"8PSK - three-fourth",0,"TERM165"
"392",0,"8PSK - two-third",0,"TERM452"
"393",0,"QPSK - two-third",0,"TERM1149"
"394",0,"QPSK - fifth-sixth",0,"TERM1145"
"395",0,"QPSK - two-third",0,"TERM1127"
"396",20000,"8PSK - two-third",12486,"TERM923"
"397",0,"QPSK - ninth-tenth",0,"TERM835"
"398",0,"8PSK - three-fourth",0,"TERM1069"
"399",0,"8PSK - two-third",0,"TERM857"
"400",200,"8PSK - two-third",61,"TERM1096"
"401",0,"QPSK - ninth-tenth",0,"TERM1070"
"402",0,"8PSK - two-third",0,"TERM593"
"403",0,"8PSK - two-third",0,"TERM87"
"404",0,"8PSK - two-third",0,"TERM938"
"405",0,"8PSK - two-third",0,"TERM931"
"406",0,"8PSK - two-third",0,"TERM934"
"407",0,"QPSK - two-third",0,"TERM415"
"408",0,"QPSK - ninth-tenth",0,"TERM792"
"409",0,"8PSK - fifth-sixth",0,"TERM670"
"410",0,"QPSK - ninth-tenth",0,"TERM247"
"411",0,"QPSK - ninth-tenth",0,"TERM400"
"412",0,"QPSK - ninth-tenth",0,"TERM750"
"413",0,"QPSK - ninth-tenth",0,"TERM252"
"414",0,"8PSK - fifth-sixth",0,"TERM699"
"415",0,"QPSK - ninth-tenth",0,"TERM673"
"416",0,"QPSK - ninth-tenth",0,"TERM621"
"417",0,"QPSK - ninth-tenth",0,"TERM619"
"418",0,"QPSK - fifth-sixth",0,"TERM495"
"419",0,"8PSK - two-third",0,"TERM535"
"420",0,"8PSK - three-fourth",0,"TERM548"
"421",0,"8PSK - three-fourth",0,"TERM529"
"422",0,"8PSK - three-fourth",0,"TERM523"
"423",0,"8PSK - three-fourth",0,"TERM542"
"424",0,"8PSK - two-third",0,"TERM1371"
"425",0,"8PSK - three-fourth",0,"TERM1349"
"426",200,"8PSK - three-fourth",199,"TERM1262"
"427",200,"8PSK - eight-ninth",199,"TERM1251"
"428",0,"8PSK - three-fourth",0,"TERM533"
"429",0,"8PSK - two-third",0,"TERM1188"
